"Player","Pos","Age","Rk","G","MP","Team","GS","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"A.J. Green","SG",23,"383","35","345","MIL",1,53,125,0.424,44,105,0.419,9,20,0.45,0.6,4,4,1,6,39,45,22,6,0,9,31,154,"","11.5",".607",".840",".032","1.9","11.3","6.8","8.7","0.8","0.0","6.6","16.6","0.5","0.3","0.8",".111","-0.3","-0.6","-0.9","0.1"
"A.J. Lawson","SG",22,"438","1","2","MIN",0,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,1,1,0,0,0,0,1,2,"","34.4","1.000",".000",".000","0.0","54.9","27.9","0.0","0.0","0.0","0.0","21.4","0.0","0.0","0.0",".377","-2.3","7.5","5.2","0.0"
"A.J. Lawson","SG",22,"438","14","106","DAL",0,21,43,0.488,10,25,0.4,11,18,0.611,0.605,2,8,0.25,6,14,20,2,2,0,3,10,54,"","13.5",".580",".581",".186","6.5","15.5","11.0","3.0","0.9","0.0","6.1","21.1","0.1","0.1","0.1",".057","-1.5","-3.1","-4.6","-0.1"
"A.J. Lawson","SG",22,"438","15","108","TOT",0,22,44,0.5,10,25,0.4,12,19,0.632,0.614,2,8,0.25,6,15,21,2,2,0,3,11,56,"","13.9",".589",".568",".182","6.4","16.3","11.3","3.0","0.9","0.0","5.9","21.1","0.1","0.1","0.1",".063","-1.5","-2.9","-4.4","-0.1"
"Aaron Gordon","PF",27,"83","68","2055","DEN",68,429,761,0.564,60,173,0.347,369,588,0.628,0.603,191,314,0.608,164,282,446,203,54,51,98,129,1109,"","19.5",".617",".227",".413","9.4","15.4","12.5","14.2","1.3","2.2","9.8","21.1","4.6","2.2","6.8",".158","2.4","-0.3","2.1","2.1"
"Aaron Holiday","PG",26,"326","63","845","ATL",6,92,220,0.418,36,88,0.409,56,132,0.424,0.5,27,32,0.844,25,49,74,89,37,12,36,79,247,"","9.4",".528",".400",".145","3.2","6.4","4.8","13.0","2.1","1.2","13.3","13.4","0.3","0.6","0.9",".053","-2.9","0.9","-2.0","0.0"
"Aaron Nesmith","SF",23,"142","73","1816","IND",60,252,590,0.427,115,314,0.366,137,276,0.496,0.525,119,142,0.838,62,215,277,98,55,34,75,235,738,"","10.5",".566",".532",".241","3.8","13.1","8.5","7.4","1.4","1.6","10.3","16.8","0.9","1.1","2.0",".052","-2.3","-0.7","-3.0","-0.4"
"Aaron Wiggins","SG",24,"235","70","1297","OKC",14,186,363,0.512,48,122,0.393,138,241,0.573,0.579,59,71,0.831,68,142,210,80,39,15,55,110,479,"","12.2",".607",".336",".196","5.5","12.0","8.7","8.3","1.4","1.1","12.2","14.5","1.4","1.2","2.6",".097","-1.5","-0.5","-2.1","0.0"
"Admiral Schofield","PF",25,"381","37","451","ORL",0,55,122,0.451,24,74,0.324,31,48,0.646,0.549,21,23,0.913,23,39,62,31,8,5,16,61,155,"","10.1",".587",".607",".189","5.8","9.8","7.8","9.6","0.9","1.1","10.8","14.1","0.5","0.3","0.8",".089","-2.2","-0.7","-2.9","-0.1"
"AJ Griffin","SF",19,"185","72","1401","ATL",12,248,533,0.465,101,259,0.39,147,274,0.536,0.56,42,47,0.894,37,116,153,73,42,12,42,87,639,"","12.6",".577",".486",".088","2.9","9.2","6.0","7.0","1.4","0.7","7.1","17.9","1.3","0.9","2.2",".075","-0.3","-0.5","-0.8","0.4"
